Cycle	Chunks	Types	Productions	RealT	SimT
30100	14357	9	2	0.312	5.653999999999996
30200	14419	9	2	0.234	7.585500000000138
30300	14466	9	2	0.211	7.555499999999938
30400	14526	9	2	0.313	11.010499999999865
30500	14649	9	2	0.198	5.895300000000134
30600	14674	9	2	0.171	6.199399999999969
30700	14693	9	2	0.072	3.9149999999999636
30800	14746	9	2	0.147	6.317300000000159
30900	14781	9	2	0.291	17.040599999999813
31000	14895	9	2	0.293	12.487900000000081
31100	14998	9	2	0.537	15.247800000000097
31200	15062	9	2	0.293	10.294499999999971
31300	15083	9	2	0.336	18.299399999999878
31400	15089	9	2	0.196	10.450800000000072
31500	15091	9	2	0.161	7.195400000000063
31600	15093	9	2	0.226	13.408399999999801
31700	15116	9	2	0.162	5.550700000000234
31800	15216	9	2	0.216	4.154599999999846
31900	15337	9	2	0.199	4.639599999999973
32000	15399	9	2	0.157	5.092000000000098
32100	15443	9	2	0.139	4.716699999999946
32200	15450	9	2	0.095	4.57510000000002
32300	15501	9	2	0.141	4.839500000000044
32400	15606	9	2	0.253	10.624499999999898
32500	15760	9	2	0.268	12.727600000000166
32600	15836	9	2	0.287	7.617799999999988
32700	15885	9	2	0.231	11.69419999999991
32800	15920	9	2	0.265	14.529500000000098
32900	15938	9	2	0.163	8.947599999999966
33000	15938	9	2	0.21	12.184099999999944
33100	16004	9	2	0.29	12.460199999999986
33200	16054	9	2	0.316	10.914400000000114
33300	16102	9	2	0.191	8.476999999999862
33400	16144	9	2	0.248	10.597600000000057
33500	16239	9	2	0.356	11.03819999999996
33600	16358	9	2	0.259	11.064300000000003
33700	16360	9	2	0.21	13.997499999999945
33704	16360	9	2	0.015	0.3038000000001375
